Wall time,Step,Value
1710810307.9521441,0,0.5092708468437195
1710810370.5477633,1,0.64432293176651
1710810433.770736,2,0.672656238079071
1710810497.447862,3,0.6872395873069763
1710810560.667981,4,0.6910937428474426
1710810624.195644,5,0.7053645849227905
1710810687.816987,6,0.7071874737739563
1710810751.4769113,7,0.7116666436195374
1710810814.3462408,8,0.7164062261581421
1710810877.9754434,9,0.7157812714576721
1710810941.3072214,10,0.7227604389190674
1710811004.6125784,11,0.7225520610809326
1710811068.9091673,12,0.7250000238418579
1710811132.7612724,13,0.7253124713897705
1710811196.1472213,14,0.7259374856948853
1710811259.9264402,15,0.7283853888511658
1710811323.1047714,16,0.7330729365348816
1710811386.3361416,17,0.7335416674613953
1710811449.3512406,18,0.7295833230018616
1710811512.4954717,19,0.7348958253860474
1710811575.830689,20,0.7347916960716248
1710811639.3511875,21,0.7341145873069763
1710811702.914245,22,0.7299479246139526
1710811766.4982946,23,0.7408854365348816
1710811829.9514282,24,0.7360416650772095
1710811893.3686512,25,0.7398437261581421
1710811956.9025416,26,0.7328645586967468
1710812020.8827548,27,0.7410937547683716
1710812084.3288918,28,0.7339062690734863
1710812147.608251,29,0.7376041412353516
1710812211.0691955,30,0.7445312738418579
1710812274.409987,31,0.7440624833106995
1710812337.3927863,32,0.7452604174613953
1710812401.0146198,33,0.74609375
1710812464.411926,34,0.7465624809265137
1710812528.5731745,35,0.7456770539283752
1710812592.3688176,36,0.7477083206176758
1710812655.887112,37,0.7447395920753479
1710812719.3809047,38,0.7464062571525574
1710812783.3007166,39,0.7472916841506958
