Wall time,Step,Value
1710726589.383503,0,0.45239582657814026
1710726726.2422194,1,0.5506250262260437
1710726869.8672209,2,0.5745833516120911
1710727019.6285586,3,0.5805208086967468
1710727174.2431934,4,0.6033333539962769
1710727317.3056443,5,0.6006770730018616
1710727459.5479803,6,0.6135416626930237
1710727603.7834647,7,0.6186458468437195
1710727757.7892404,8,0.6216145753860474
1710727900.6518903,9,0.6257291436195374
1710728039.285316,10,0.6316666603088379
1710728178.5033085,11,0.6334896087646484
1710728317.8378055,12,0.633385419845581
1710728453.8525264,13,0.6465104222297668
1710728589.8633926,14,0.6540625095367432
1710728730.274981,15,0.6503645777702332
1710728868.2994611,16,0.6575520634651184
1710729007.3808281,17,0.6549999713897705
1710729151.2113063,18,0.6625000238418579
1710729293.2339032,19,0.6616666913032532
1710729428.8999014,20,0.6652083396911621
1710729562.52399,21,0.6651041507720947
1710729696.3749564,22,0.6685937643051147
1710729833.0484972,23,0.6630208492279053
1710729965.77949,24,0.6725521087646484
1710730100.4521255,25,0.6719791889190674
1710730235.176015,26,0.67598956823349
1710730370.0296967,27,0.6717187762260437
1710730504.8731606,28,0.6795833110809326
1710730639.4583855,29,0.6800000071525574
1710730777.5345695,30,0.6932291388511658
1710730914.719376,31,0.7097916603088379
1710731046.7849479,32,0.7212499976158142
1710731182.5919123,33,0.7272396087646484
1710731318.4503226,34,0.729687511920929
1710731451.822912,35,0.7346875071525574
1710731588.2498271,36,0.7379687428474426
1710731724.591032,37,0.7355208396911621
1710731861.0273585,38,0.7423437237739563
1710731997.366887,39,0.7431250214576721
